PC1,PC2,Cluster
-0.9249190190671424,1.3872522059355454,0
-0.08719694131883943,-3.762391333947724,1
-2.2471665266535097,2.3557590222646527,0
0.1783427466634179,-2.8670943478216975,1
-1.592230441270683,-1.3856885034578272,0
0.9446800389626849,-3.562908189113224,1
-1.153825046604814,-3.5853212873976545,1
-0.30916779501269853,-0.8294234849495635,0
-2.4204817372768397,0.3727571945905268,0
-0.8916458564139842,1.4632959972025428,0
4.058180582231784,-1.3780968672675387,1
-1.9856506203815192,-0.9557449389639484,0
-0.7004643148727907,-1.6600714735168876,1
1.64380736317853,1.1776903938056624,2
-4.28609855369491,2.1689123741593805,0
0.07852034332070332,-0.6397932658112203,1
-2.557680501642905,0.8478601926697426,0
-2.6196380634265086,-1.672169257620064,0
4.075423503624378,1.0531117701572668,2
-1.6802913184410018,-0.4226193728845973,0
-2.0803750363598907,3.3339413582141453,0
-2.551394332796865,1.4864540273021596,0
-2.24084686142479,-1.9231807777414036,0
-1.4815891714252567,0.5657676494003981,0
-3.1733164557338913,1.7353614854040316,0
-0.37548204384693906,0.8811584817884358,0
0.8040191637184795,1.320420592738959,2
1.8321503243475732,-3.7102249254734936,1
0.25107368749932313,-3.466100100397532,1
3.2407146810510947,-1.5852210040782149,1
3.7257484622838493,3.0184358948269625,2
-0.6386112597077822,0.33474556629323104,0
2.896719572576659,1.3131836750572636,2
-1.7903126823527782,3.08957659742297,0
0.8004700018596927,3.526263508011717,2
-1.7770107408667934,2.6698932448962513,0
2.9498641234628367,0.3626317246906663,2
-0.8064223088445607,-0.4761159631798623,0
0.800140938001532,2.209929130585532,2
0.7705374755341395,-2.7331216547456862,1
1.6941718167232782,4.133439253772051,2
1.1792625331923576,4.534772351349393,2
-1.78163388474901,-1.3058348590075533,0
-1.0864698657630645,0.053840833303055786,0
-0.8778813776473783,-0.8333226821739245,0
-1.224864981095104,-0.11102673086203853,0
1.4261353423038554,4.379805970024084,2
0.3045546275384642,0.18354882919442084,2
0.22623992540587048,-1.0512138097800188,1
0.7762213084432397,0.6607550160968735,2
-0.8400471127686965,-0.4718810612315654,0
-1.0094089371640624,-0.430485756865698,0
-2.2849114572479974,-2.4767120689294684,0
0.9465482200231194,0.9780174497489466,2
-2.2885430954658474,-0.3910583170703258,0
-4.147627630622096,2.2527642724636694,0
-1.3663117337713426,-0.6297470402209414,0
2.426620430392156,3.260821775353721,2
-2.1819977177187666,-0.4713824212939193,0
0.47202595773211353,3.271427074084734,2
-2.0093149322875883,1.759865549081347,0
-2.0952955336106225,1.3231107391241879,0
2.095313480182109,-1.815201341814481,1
-0.4357824765236168,0.2477113441725795,0
1.3649300587944735,0.7369564737114983,2
1.8743474681318721,0.3047300527366229,2
-0.9523207694453583,-3.144104145665491,1
-0.3370685375917764,0.1253162730014479,0
-2.5363651377077505,-1.3370245616926857,0
-3.5206074624474666,1.43882575774302,0
